id;current_balance;wagering_money;winning_money;username;email;contact
1;45713;86074;15670;Lebanese;Karli.Jacobi97@hotmail.com;Soft
2;24827;21077;6207;Legacy;Kian_Daugherty@hotmail.com;Litas
3;31015;6183;2062;Managed feed;Adelia.Kuhic57@hotmail.com;Isle
4;98579;74111;56265;multi-byte withdrawal;Maiya20@yahoo.com;back interface International
5;71535;87443;91345;Avon;Hayden_Herman@hotmail.com;Concrete Borders RSS
6;47534;17483;46253;Incredible synthesizing;Janice32@gmail.com;6th
7;94808;95201;64330;Cambridgeshire generating;Tyra.Koch1@yahoo.com;Architect
8;59290;15220;51595;monitor;Isabella_McGlynn@gmail.com;blue
9;30137;61614;15123;Ameliorated next-generation;Carmela.OHara@hotmail.com;ADP Concrete
10;53081;61532;43953;Directives deposit;Zachery.Moore44@yahoo.com;parsing Colorado Junctions
